"State","gunOwnership","totalGuns"
"Alaska","0.6170","15824"
"Arkansas","0.5790","79841"
"Idaho","0.5690","49566"
"West Virginia","0.5420","35264"
"Wyoming","0.5380","132806"
"Montana","0.5230","22133"
"New Mexico","0.4990","97580"
"Alabama","0.4890","161641"
"North Dakota","0.4790","13272"
"Hawaii","0.4510","7859"
"Louisiana","0.4450","116831"
"South Carolina","0.4440","105601"
"Mississippi","0.4280","35494"
"Kentucky","0.4240","81058"
"Tennessee","0.3940","99159"
"Nevada","0.3750","76888"
"Minnesota","0.3670","79307"
"Texas","0.3570","588696"
"South Dakota","0.3500","21130"
"Wisconsin","0.3470","64878"
"Colorado","0.3430","92435"
"Iowa","0.3380","28494"
"Indiana","0.3380","114019"
"Florida","0.3250","343288"
"Arizona","0.3230","179738"
"Kansas","0.3220","52634"
"Utah","0.3190","72856"
"Georgia","0.3160","190050"
"Oklahoma","0.3120","71269"
"Virginia","0.2930","307822"
"Vermont","0.2880","5872"
"Michigan","0.2880","65742"
"North Carolina","0.2870","152238"
"Washington","0.2770","91835"
"Pennsylvania","0.2710","236377"
"Missouri","0.2710","72995"
"Oregon","0.2660","61383"
"Illinois","0.2620","146487"
"Massachusetts","0.2260","37152"
"Maine","0.2260","15371"
"Maryland","0.2070","103109"
"California","0.2010","344622"
"Nebraska","0.1980","22234"
"Ohio","0.1960","173405"
"Connecticut","0.1660","82400"
"New Hampshire","0.1440","64135"
"New Jersey","0.1130","57505"
"New York","0.1030","76207"
"Rhode Island","0.0580","4223"
"Delaware","0.0520","4852"
